배우들의,카시오페아,감사합니다,영화네요,잘봤습니다,마지막에,홉킨스의,생각을,사랑이,재미있게,줄리안,오늘을,봐도,마음이,감동을,눈물,보았습니다,좋아요,드라마,기억은,추천합니다,살아가세요,생각하게,인생영화,홉킨스,좋은,보면,좋았습니다,나는,크리스토퍼,마지막,슬프고,엄마랑,가족의,내가,불과하다지만,아름다운,슬퍼요,재미있어요,영화관에서,오랜만에,부시게,연기,다시,슬프다,부모님과,눈이,배우들,반전이,펑펑,감동이,사랑을,사랑,잔잔하고,생각보다,영화를,영화입니다,딸에,그럼에도,영화가,레이첼,현실적인,안소니,아름답다,기억을,잔잔한,하게,보는내내,연기가,좋았어요,진짜,슬픈,연기는,감동적인,로맨스,부모님,놀란,잔잔하게,역시,명작,감동,소중함을,나도,감동적이고,사랑은,사랑하는,생각이,서현진,메멘토,재밌어요,가슴이,다시봐도,영화는,무어의,재밌게,맥아담스,반전
3,0,1,0,0,1,0,0,2,0,0,34,2,7,2,7,0,0,41,2,1,148,0,0,0,6,2,3,11,0,7,2,0,0,11,1,12,0,0,0,2,336,7,9,2,0,38,1,0,10,0,3,1,0,0,3,1,1,4,3,0,0,0,2,3,0,0,2,7,1,10,1,3,0,0,0,0,1,4,1,0,0,7,0,1,6,4,0,1,0,3,0,5,0,0,1,2
1,1,0,0,0,3,0,3,0,4,2,0,1,3,1,4,1,2,1,0,0,0,2,0,0,4,3,2,1,0,6,3,0,1,3,0,1,1,0,1,2,0,40,3,1,1,1,2,1,3,2,0,0,1,0,3,1,0,0,2,1,0,1,0,0,0,0,0,87,10,4,0,21,1,1,0,1,0,3,0,7,0,1,2,0,1,2,2,0,1,0,0,2,0,0,0,1
5,0,0,2,1,11,0,4,2,5,0,0,3,2,5,3,1,1,3,0,2,0,1,0,0,6,5,3,2,3,31,2,2,3,2,0,3,1,0,0,2,0,5,9,3,5,0,1,6,4,8,4,1,2,4,7,2,0,5,5,0,2,0,0,4,6,0,1,3,1,6,6,3,7,1,3,2,0,5,0,6,2,1,1,1,1,6,0,0,2,2,0,3,0,7,0,11
3,0,0,6,0,9,0,2,6,1,0,0,4,9,3,82,0,2,6,0,1,0,1,1,0,2,8,2,9,0,9,1,6,3,8,0,2,2,0,2,8,0,13,7,3,2,10,3,4,12,2,1,3,0,2,10,4,0,1,6,0,2,0,0,3,0,1,2,4,1,50,8,4,5,2,5,0,1,2,1,9,1,11,3,1,1,6,0,0,1,4,1,7,1,3,0,0
3,0,1,9,0,4,0,4,4,2,0,0,3,5,2,1,0,2,7,0,2,0,3,0,0,11,8,3,1,0,7,0,0,5,1,0,4,0,0,0,1,0,3,3,0,0,0,2,8,2,0,6,2,1,2,7,8,0,1,8,0,0,1,1,0,65,0,2,4,5,6,0,2,3,0,0,0,2,3,0,1,1,1,1,2,2,2,0,0,2,4,2,3,1,2,0,2
5,0,2,3,0,4,0,4,40,0,0,0,4,16,3,7,1,0,1,1,0,0,6,1,0,16,7,2,38,0,11,1,0,34,35,0,29,0,0,1,1,0,1,45,0,2,3,0,4,1,6,92,41,0,0,18,0,0,9,13,6,3,0,4,17,1,10,0,2,2,8,7,1,8,10,2,0,2,3,0,4,0,98,3,46,19,17,0,0,0,6,0,19,0,3,2,0
3,0,1,1,0,2,0,2,32,0,3,1,5,10,4,8,0,3,5,3,1,0,3,0,0,7,7,2,18,0,19,3,0,26,23,0,69,0,0,1,3,1,6,26,0,1,1,0,1,3,2,41,96,1,1,17,1,0,8,8,12,1,0,8,18,2,1,0,2,1,14,9,1,6,3,2,0,3,7,3,6,1,27,2,19,11,9,0,0,0,4,1,10,1,0,2,1
1,0,0,0,0,3,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,5,1,3,2,0,0,3,5,0,1,0,5,1,0,0,0,0,2,0,0,0,0,1,2,0,1,0,1,0,0,2,6,0,0,3,0,0,0,0,2,2,1,0,2,9,1,3,1,7,0,0,0,0,0,0,1,0,0,2,0,0,3,1,0,1,2,0,3,0,0,0,0
1,0,0,1,0,2,0,0,1,5,1,0,0,2,0,3,1,1,3,0,0,0,0,0,0,2,2,3,3,0,1,2,1,1,6,0,1,0,0,1,0,0,2,5,1,0,0,0,4,2,2,0,1,0,2,2,0,0,1,3,0,1,0,1,1,5,0,0,1,1,1,1,4,0,1,1,0,0,3,0,2,0,1,3,0,3,2,1,0,0,0,0,2,0,4,0,2
15,0,12,3,0,8,9,34,17,6,11,0,10,30,12,12,5,2,3,7,2,0,12,3,3,63,44,5,53,3,22,4,2,10,91,0,14,0,0,20,31,0,14,90,4,2,3,3,7,10,7,18,17,2,2,142,9,3,9,59,3,4,14,1,25,8,12,14,21,6,33,21,3,10,30,7,23,1,16,3,5,2,21,1,20,18,40,3,2,0,18,1,46,1,8,1,1
6,0,2,2,0,0,0,8,5,2,1,0,5,13,6,4,1,0,1,0,10,0,12,2,0,46,7,2,4,0,6,5,1,3,0,0,11,3,1,6,3,0,5,11,0,3,1,1,2,4,8,0,1,6,0,9,10,1,0,3,0,1,2,0,4,5,7,1,8,2,6,6,2,29,4,0,4,2,4,0,5,4,0,1,0,1,4,1,1,1,9,2,3,0,0,0,1
0,0,0,0,9,0,0,1,0,3,0,0,0,0,0,0,3,6,0,0,0,0,3,0,0,2,1,8,7,0,2,1,1,2,6,0,1,0,1,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,3,1,56,1,3,0,1,0,0,1,0,0,0,4,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,6,0,7,0,0
2,0,0,0,0,1,0,1,4,0,4,3,2,3,2,2,0,0,6,1,0,1,0,0,0,8,4,89,17,0,11,0,1,3,14,80,11,1,0,0,0,1,1,12,3,0,4,0,5,1,1,9,8,0,1,9,0,1,4,12,3,1,0,1,14,1,2,0,4,0,2,4,0,1,1,0,0,0,2,0,1,0,2,0,5,10,4,0,0,0,4,0,12,1,0,1,1
13,6,3,1,0,0,2,15,15,1,8,0,3,12,9,13,0,4,5,6,0,0,12,1,1,28,10,4,33,3,24,4,3,10,45,0,17,4,0,1,11,0,11,30,1,4,3,2,5,6,8,13,8,3,3,59,3,3,12,34,4,11,2,3,8,3,1,4,8,4,29,10,8,8,23,4,10,8,12,3,4,0,15,2,6,12,14,6,1,2,13,2,54,2,4,0,6
