"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"내일의 기억","krgl****","2021.05.13. 00:38","1","영화 아이디어는 최근 유행했던 외국 스릴러 따라하고 어그로성 영화제목은 일본 따라함. 그리고 ""성형해서 예쁘기만 하면"" 예쁜여자 가해자 감싸주고 그 피해자 탓하는 감독 마인드에 기가차서 평점 안줍니다. 지금이 어느땐데 가해자 감싸고 피해자탓이라니??? 영화는 인간사를 다루는건데 인간사에 대한 공감력 모자...","6","0"
"내일의 기억","eums****","2021.05.04. 22:41","4","좀 억지인 부분이 많아서 코미디같았던 영화..; 무슨...말도 안 되는....반전에 반전이지만 너무 뻔한 스토리라 그저 그랬다 ;","8","2"
"내일의 기억","seha****","2021.05.04. 10:53","3","정보 없음","8","2"
"내일의 기억","idlo****","2021.05.04. 00:22","1","아 이건 가서 내 티켓값 환불 받고싶다 무슨 응칠갬성이냐 대체 평점조작확실 아 놔~~~ 내 티켓","8","2"
"내일의 기억","hiph****","2021.05.03. 11:27","1","음.. 별로임...","8","2"
"내일의 기억","rlad****","2021.04.29. 23:24","2","스릴러로 시작해서 감동으로 끝나는 영화. 후반으로 빠질수록 너무 내용을 꼬아서 집중이 안됨. 나중엔 걍 이해하는걸 포기했다.. 적당히 가족의 아름다움으로 연출하는척하며 사랑으로 넘어가는 근친스토리...다른 의미로 소름돋았음. 절대 비추천 무료티켓으로 보긴했지만 그래도 돈이 아까운 스토리..ㅋㅋㅋ","8","2"
"내일의 기억","kos3****","2021.04.29. 06:12","6","알바 많네... ㅋㅋㅋㅋ 국산영화 개봉한지 얼마안됀작품 평점높더라도 이제 걸러야되겠다","8","2"
"내일의 기억","gods****","2021.04.27. 23:49","2","이 감독은 ..인간에 대한 이해가 떨어지는 사람으로 보이며 굉장히 이기적인 사람으로 보인다","8","2"
"내일의 기억","nnri****","2021.04.29. 12:32","1","최하 점주 주고 싶음","10","4"
"내일의 기억","mira****","2021.04.28. 23:37","1","학폭 배우꺼 안봐요 망해라~","11","5"
"내일의 기억","woon****","2021.04.23. 01:52","1","유리나라사란들 눈알이삐었나 노잼 이거 낚는분위기","12","6"
"내일의 기억","gogi****","2021.04.22. 20:02","1","알바분들 왜 다 네이버로 몰려왔나요. 다음 평점이랑 너무 차이나네","12","6"
"내일의 기억","ligh****","2021.05.23. 05:29","1","반전에 반전을 곱배기로 해도, 기본이 없으면 재미가 없다.","5","0"
"내일의 기억","myde****","2021.05.19. 02:19","1","감독과 서예지의 은퇴작 아닐지... 이런 영화 만든 사람들 진짜 구속시켜야 함","5","0"
"내일의 기억","merd****","2021.05.17. 01:59","1","영화의 스토리 순서를 뒤섞어 장난치는 것 만 생각한 나머지 그 외에 모든 요소를 깡그리 버린 허접한 스릴러 영화.","5","0"
"내일의 기억","okyk****","2021.05.15. 11:02","1","반전을 위해 억지로 이어지는 스토리 지루했음","5","0"
"내일의 기억","siso****","2021.05.13. 04:10","1","세상에…내 시간, 내 11,000원….","5","0"
"내일의 기억","hibi****","2021.04.23. 13:26","8","기대 안 하고 봤는데 생각보다 재밌게 봤습니다. 모 배우 때문에 좀 꺼려지긴 했지만.. 배제하고 영화 전체적으로 연출 연기 괜찮은 거 같아요(두 주연 배우 연기하는 모습은 처음 봄)무서운 거 잘 못 봐서 깜짝 놀란 장면 몇 개 있고 반전이 있는 영화입니다. 눈치 빠르신 분들은 초반부터 알 수 있을 것 같아요","5","0"
"내일의 기억","blad****","2021.05.10. 18:59","6","아이디어는 좋았으나 결론적으로 스토리텔링이 너무 부실하다보니 반전보고 아 그렇구나 끝- 이런 영화가 되어버림 이정도 수준의 상업영화는 몇백편은 본거 같아서 전혀 매력도 재미도 관심도 느낄수 없었던 영화 뭔가의 매력이 없네","6","1"
"내일의 기억","audr****","2021.05.03. 04:28","4","스릴러 좋아하는데 평타이하로 재미 없었어요..; 다른분들도 별로 재미없는지 별말없이 그냥 나오더라구여","6","1"
"내일의 기억","gym0****","2021.05.03. 04:20","5","조금씩 다 아쉽다 반전치고는 약해서","6","1"
"내일의 기억","cima****","2021.04.28. 00:10","6","이거랑 비슷한 미국 영화 있는데... 넘 비슷하네 스토리가","6","1"
"내일의 기억","toma****","2021.05.04. 08:56","1","정보 없음","7","2"
"내일의 기억","sasi****","2021.05.03. 19:20","6","솔직히 별로엿음. 지루함.. 엄청지루함..","7","2"
"내일의 기억","sead****","2021.04.28. 21:46","1","서예지 라서  ㅣ점입니다","7","2"
