"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"내일의 기억","kimy****","2021.04.25. 15:37","10","연기는 말할 것도 없고 스토리도 연출도 다 너무 좋았어요 걱정했는데 영화는 진짜 잘나온 듯..ㅋㅋㅋ","17","14"
"내일의 기억","rkdt****","2021.05.04. 20:11","8","반전에 반전 ㅠㅜ오빠 너무 짠ㅠㅠㅠ","20","17"
"내일의 기억","pmwv****","2021.04.25. 17:45","10","배우들 연기가 좋아서 재밌었어요.","20","17"
"내일의 기억","sc2j****","2021.04.24. 13:44","10","오랜만에 보는 스릴러 영화 너무 재밌었습니다","23","20"
"내일의 기억","anoi****","2021.04.26. 00:05","8","진짜 볼꺼 없엇는데 오랜만에 영화 다운 영화 본거 같네요 군더더기 없고 배우 연기 말할것도음","25","22"
"내일의 기억","elsa****","2021.05.26. 16:44","10","진짜로 반전의 반전이에요 꼭 보시는걸 추천드려요 ??","30","27"
"내일의 기억","mxzt****","2021.04.21. 20:31","10","반전에 반전 긴장감 있고 재미게 봤어요~~","33","30"
"내일의 기억","kynj****","2021.05.03. 10:16","1","연출력과 스토리, 연기 모두 논할 필요가 없을듯..","52","49"
"내일의 기억","tnal****","2022.01.16. 18:02","8","반전이 있는 영화’ 그것때문에 재밌었다고 느껴짐","5","3"
"내일의 기억","kksp****","2021.05.01. 22:43","10","잼있습니다 많이들 보세요","13","11"
"내일의 기억","care****","2021.05.07. 17:54","7","그럭저럭  나쁘지 않음 근데 오래 남지는 않음","14","12"
"내일의 기억","ezms****","2021.04.24. 13:06","9","스토리, 배우 연기 모두 좋았습니다","16","14"
"내일의 기억","rlaa****","2021.04.27. 22:05","10","감동이고 반전놀랐아용","19","17"
"내일의 기억","pure****","2021.04.22. 23:21","8","스릴 있고 재미에 감동까지 있는 영화였어요아직 안보신 분들은스포일러 미리 접하지 않게 조심하세요","20","18"
"내일의 기억","ts6q****","2021.04.26. 15:35","10","내일의 기억 잘보고왔습니다  김강우 배우님 너무 멋있어요","21","19"
"내일의 기억","powh****","2021.04.22. 20:21","9","보는 내내 반전과 감동이 있었던 스릴러물","21","19"
"내일의 기억","bhvb****","2021.04.25. 19:12","10","보다 보면 어느새 몰입되어 추리를 하고 있는 나 자신을 발견하게 됨ㅋㅋㅋ","22","20"
"내일의 기억","pr9j****","2021.04.24. 23:21","10","몰입해서 시간가는줄 모르고 재밌게 봤네요!","22","20"
"내일의 기억","cool****","2021.04.22. 22:00","10","김강우 마지막 표정에 울음 터져서 못일어남 ㅠㅜ","22","20"
"내일의 기억","yakh****","2021.04.25. 17:08","10","이해가 잘 됐고 의아한 부분들은 나중에 풀어줘서 시원했음ㅋㅋ 마지막도 깔끔하게 끝나고 만족스러운 영화 관람이였다","24","22"
"내일의 기억","sktc****","2021.04.22. 12:22","10","보는내내 긴장감을 놓을 수 없는... 반전의 반전의 연속!","26","24"
"내일의 기억","mai6****","2021.04.23. 13:52","10","김강우씨 연기 진짜 잘하시네요 반했습니다","14","13"
"내일의 기억","barb****","2021.04.24. 23:29","10","스릴러를 좋아하는분이라면 재밌게 볼 수 있을 듯","17","16"
"내일의 기억","beep****","2021.05.02. 20:51","8","여주 이슈만 아니면 전반적으로 너무 긴장감 넘치게 잘 봤어요! 남친은 중간에 바로 눈치 챘지만 저처럼 걍 몰입해서 뭣 모르고 보는 사람들인 반전의반전으로 꿀잼인 영화!!! 김강우씨, 개인적으로 영화가 잘 안풀려서 아쉬운 배우 ㅠㅠ","19","18"
"내일의 기억","ggna****","2021.04.23. 21:58","10","기대이상ㅋㅋ연기도 좋고 스토리도 재밌음.","19","18"
"내일의 기억","erhs****","2021.04.23. 13:03","9","긴장감 대박.. 내일의 기억 재미있어요...","21","20"
"내일의 기억","jink****","2021.05.19. 00:41","8","아직 우리나라 스릴러는 그다지 ..","26","25"
"내일의 기억","bsy7****","2021.04.23. 08:08","9","서예지를 걷어내고 작품만 놓고 평가하면 꽤 괜찮았다. 긴장감 있는 연출과 마지막 반전도","26","25"
"내일의 기억","jinj****","2021.04.21. 21:14","8","영화눈 재밌움>_< 긴장감도 좋윰","27","26"
"내일의 기억","caen****","2024.07.29. 00:01","4","비추합니다. 비추합니다.","0","0"
"내일의 기억","kimh****","2023.03.11. 17:37","8","정보 없음","0","0"
"내일의 기억","hote****","2021.10.27. 17:54","7","나름볼만했던 스타일!","3","3"
"내일의 기억","evan****","2021.05.02. 20:12","6","좋아요?","7","7"
"내일의 기억","leey****","2021.04.24. 16:45","8","잘 봤어요 ~","11","11"
"내일의 기억","wech****","2021.05.04. 20:54","7","그닥 흥미로운 스토리는 아니었지만 한국스릴러의 단점인 용두사미는 아닌 영화","12","12"
"내일의 기억","ckl3****","2021.04.25. 16:36","9","영화 스토리 자체는 굿이에오ㅋ","12","12"
"내일의 기억","eee5****","2021.04.25. 11:11","9","정보 없음","12","12"
"내일의 기억","eiei****","2021.05.17. 02:26","8","흐음..나쁘지않았음","13","13"
"내일의 기억","vvv0****","2021.05.02. 19:43","10","반전이 있어서 좋았어욤 오랜만에 재밌는 스릴러 봐서 기분이 좋았음밍","13","13"
"내일의 기억","jak4****","2021.04.28. 23:17","10","스토리가 반전에 반전을 긴장감도 좋고넘 재미있읍니다.","14","14"
"내일의 기억","r5lz****","2021.04.25. 10:44","9","예측을 벗어 난 스토리.. 많이 쫄깃 쫄깃했어요","14","14"
"내일의 기억","solo****","2021.04.24. 23:12","10","진짜 보는 내내 긴장감 장난아니였습니다!!스토리도 반전의반전","14","14"
"내일의 기억","8r2d****","2021.04.25. 00:51","10","끝까지 긴장감을 유지, 반전의 반전,, ㄷㄷ","15","15"
"내일의 기억","h0fx****","2021.04.25. 00:29","10","몰입해서 시간 가는 줄 모르고 봤네요~ 기대 이상의 괜찮은 영화였습니다아","15","15"
"내일의 기억","hane****","2021.04.25. 12:09","10","기대없이 봤는데 반전도 있고 재밌게봤어요","16","16"
"내일의 기억","ytae****","2021.05.10. 09:04","10","연기 좋았고 반전 좋았어요","17","17"
"내일의 기억","nax0****","2021.04.25. 19:01","9","괜찮은 영화였어요. 심장 쫄깃쫄깃한 영화네요.","17","17"
"내일의 기억","f02i****","2021.04.23. 21:04","8","다른건 몰라도 스토리가 너무 재밌네요...","17","17"
"내일의 기억","badm****","2021.04.25. 20:12","10","반전에 반전이 있어서 좋았어요","18","18"
"내일의 기억","jan_****","2021.04.25. 16:15","10","재밌어요 유ㅏㄴ전연기 다 잘하고","18","18"
"내일의 기억","rlgu****","2021.04.24. 01:42","8","출연자들도 괜찮고 연기도 잘해고 스토리도 좋았어요 참신했어요","19","19"
"내일의 기억","pffz****","2021.04.22. 21:39","8","반전도 있고 나름 재미있게 봤다.","19","19"
