"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"그대를 사랑합니다","na10****","2015.10.05. 03:32","10","명작. 죽기전에 꼭 봐야할 영화.","1","0"
"그대를 사랑합니다","tnql****","2015.01.15. 20:40","9","원작인 웹툰도 보고 영화도 봤는데 둘다 슬펐다.  그리고 나중에 커서 부모님께 잘 해드리고 연락도 자주해야겠다고 느꼈다","1","0"
"그대를 사랑합니다","rlaw****","2015.01.15. 01:45","9","박소영 뉴뉴 박소영이 슬프다네요 뉴뉴","1","0"
"그대를 사랑합니다","name****","2015.01.08. 21:57","10","보는 내 울음이 터지는 영화 스크린에서 접해보지 못한게 정말 아쉽네요..","1","0"
"그대를 사랑합니다","seos****","2015.01.08. 21:42","10","정말감동적인영화입니다","1","0"
"그대를 사랑합니다","kr11****","2015.01.08. 21:37","10","가슴 먹먹해지는 영화 슬프다ㅜㅜ","1","0"
"그대를 사랑합니다","bdfg****","2013.07.03. 03:10","10","배우들 시나리오 다 최고다","1","0"
"그대를 사랑합니다","sang****","2013.02.19. 00:16","10","울었습니다..","1","0"
"그대를 사랑합니다","vkxm****","2013.02.17. 15:39","10","슬퍼요ㅜㅜ","1","0"
"그대를 사랑합니다","well****","2013.02.06. 23:31","9","izi4 - 슬프니까 그만큼 인상깊게 봤다는 뜻이다. 멍 청 아","1","0"
"그대를 사랑합니다","ayus****","2013.01.29. 20:30","10","이순재선생님 .짱!","1","0"
"그대를 사랑합니다","sohw****","2013.01.22. 09:53","8","지금의 난 지금 내 눈 앞에 있는 사랑을 마음 속에만  담아두기 참 어려운데, , 안타깝지만 아름다운 이별을 결정한 그들의 모습에 제 자신을 돌아보게 됐습니다. 아름다운 추억으로 가끔씩 떠올리며 웃음 짓는 것도 또 다른 사랑이고 행복일 것 같네요.","1","0"
"그대를 사랑합니다","wer7****","2013.01.16. 01:32","10","별점 10점이 아깝지 않다 정말 감동적이고 슬픈 영화","1","0"
"그대를 사랑합니다","capg****","2013.01.03. 14:10","9","강풀만화 보고 봐도 좋은데요...일단 이순재님 역시 연기최고네요!고령층분들 연기자들중 알짜만 모여서 볼만한 영화!감동^^ 만화를 봐서그런지 몰라도 전반,후반의 개연성이 어떤지 바로 알아서 더 재밌었습니다! 강풀짱!","1","0"
"그대를 사랑합니다","7032****","2023.09.19. 08:08","10","10년이 지난 지금 다시봤는데 어쩜 눈물이 더나는지.. 지금보니 연출도 연극같고 배우분들도 연극에서 뼈가굵은분들이시네요 너무 잘만든 영화 다시한번 흥했으면 좋겠습니다","2","1"
"그대를 사랑합니다","dltj****","2023.08.31. 04:59","10","몇 번을 봐도 울게 되네요","2","1"
"그대를 사랑합니다","mans****","2022.12.05. 00:34","10","삶에대해 너무 많은 생각을 하게 되는....","2","1"
"그대를 사랑합니다","supk****","2022.09.10. 13:58","10","이 영화가 정말 많은걸 깨닫게 만들고 너무 감동적이네요ㅜㅜ","2","1"
"그대를 사랑합니다","dmsw****","2022.06.03. 09:27","10","오랫만에 감동적인 영화봤어요배우님들 연기 정말 굿입니다웃음 눈물 교차하며요 영화에푹빠져봤어요 좋은영화 만들어줘서 감사해요^^","2","1"
"그대를 사랑합니다","wldo****","2021.01.10. 04:11","10","볼때마다 돌아가신 할머니 할아버지 생각나서 영화 시작부터 끝날때까지 계속 울기만 했네요울고싶을때마다 보는 영화에요 그냥 슬프기만 한 것도 아니고 다 완벽한 영화입니다만화책으로 볼때도 많이 울었는데 영화는 더 슬퍼요 꼭 보세요! 울면서 쓰는중임 ㅜ,,","2","1"
"그대를 사랑합니다","ygh1****","2020.09.15. 09:20","7","웹툰 보고 봤는데 진짜 살망 안시키고 그 느낌 그대로 잘 살려서 좋았음..","2","1"
"그대를 사랑합니다","dk74****","2020.05.20. 01:47","10","누군가를 떠나보내는건 참 힘든 일인것 같다. 떠나보내고 나서 익숙해지면 괜찮겠지만 그건 너무 힘들고 또 힘들걸 알면서 새로운 사람을 만나고... 죽음과 외로움에 대해 무섭게 느껴졌지만 그보다 더 큰 감동이 있는 영화^^...","2","1"
"그대를 사랑합니다","100q****","2020.02.16. 00:35","5","인생의 끝자락에 대해 생각해 보는 시간.","2","1"
"그대를 사랑합니다","juda****","2018.05.24. 22:10","10","와... 이 영화를 이제 봤다니.. ㅠㅠ","2","1"
"그대를 사랑합니다","rin0****","2018.05.14. 06:24","10","너무 슬프고.. 감동적인 영화","2","1"
"그대를 사랑합니다","anhy****","2018.05.04. 00:38","10","나도 늙어서 저런 사랑하고싶다..이것 저것 따지지 않는 진정한 사랑","2","1"
"그대를 사랑합니다","khj9****","2018.04.04. 17:59","10","웹툰 을  먼저  봤어도  눈물.감동 이  줄줄","2","1"
"그대를 사랑합니다","spar****","2018.04.01. 22:35","10","나이든 사랑만이 보여줄 수 있는 진짜 멜로","2","1"
"그대를 사랑합니다","o_os****","2017.04.06. 20:33","10","꼭보세요여자친구랑보면서계속울었어요ㅜㅜ","2","1"
"그대를 사랑합니다","dprt****","2017.03.22. 03:44","10","눈물을 안흘릴수가없다.... 노인분들을 생각하면 슬프다.","2","1"
"그대를 사랑합니다","suny****","2017.03.08. 01:45","10","진정한  사랑을 보여주는 영화였던거같습니다.","2","1"
"그대를 사랑합니다","love****","2017.02.20. 02:27","10","중반부에서 마지막까지 내내 울었지만 마냥 슬프기만 했던것은 아니었다. 가슴이 뜨겁게 차오르는 수작.","2","1"
