username,date,rating,review,likes,dislikes
chee****,2016.11.12. 14:54,10,정말 또 봐도 재미있는 최고의 영화였습니다!,2,0
step****,2016.11.12. 14:42,10,다시봐도 걸작. 말이 필요없는 걸작.,2,0
yong****,2016.11.12. 11:20,10,너무 감동이에요 인생영화,2,0
vnfm****,2016.11.12. 10:44,10,명불허전...말이 필요없었어요,2,0
dhwl****,2016.11.12. 10:13,10,정말 정말 재밌었어요~~,2,0
ytin****,2016.11.12. 09:46,10,♥영화가 너무 이뻐요 ㅎㅎ,2,0
spri****,2016.11.11. 23:22,10,시간내어 일부러 찾아보아도 후회하지않음나를 다시 생각하게되는 영화모든 요소에서 최고너무많이 울었음 먹먹해졌는데 힘들지않은 영화,2,0
dnjs****,2016.11.11. 23:00,10,잔잔한 감동이 있네요~~,2,0
publ****,2016.11.11. 22:08,10,감명깊게 봤습니다. 정말 많은 걸 생각하게 하는 영화네요.,2,0
ehdd****,2016.11.11. 20:34,10,다시 재개봉해서 보러갔는데 영상미도 너무 좋고 진짜 너무 잔잔하고 너무 좋았어요ㅠㅠ,2,0
rlaa****,2016.11.11. 20:26,10,주변 사람들한테 꼭 한번 보라고 추천해주고싶은 영화,2,0
shee****,2016.11.11. 16:11,10,기억에 남는 영화였습니다!,2,0
nuri****,2016.11.11. 12:47,10,감동적이에요...잘봤습니다,2,0
hjkl****,2016.11.06. 15:59,10,노트북은 진짜 명작3번봣다,2,0
ymsh****,2016.11.06. 15:56,10,두번째 보는 영화인데도 여전히 감동을 선사하는 눈물샘을 자극하는 아름다운 영화,2,0
sent****,2016.11.06. 15:40,10,보러 가자 해놓고 미루다가 오늘 보고 왔습니다 스크린에서 느껴지는 감동은 여전하더군요 중요한 장면에서 음악이 나올때 온몸에 전율이 돋더라구요,2,0
guim****,2016.11.06. 15:28,10,너무 좋았어요 남자친구생기면 손잡고보고싶음,2,0
skwl****,2016.11.06. 14:25,10,정말 내 인생 최고의영회!!!이 영화를 이제야 봤다는 것이 후회스러울 정도였다. 망설임 없는 사랑도 좋았고 마지막까지 색다른 느낌의 로맨스였다. 너무 행복한 시간이었다.,2,0
ssji****,2016.11.06. 13:33,10,감동실화...역시 슬프고ㅠ 사랑하고싶게만드는영화네요,2,0
park****,2016.11.06. 12:10,10,보면서 펑펑 울었다 나도 이런 사랑 해보고 싶다,2,0
enjo****,2016.11.06. 12:08,10,아름다운영화였다 훈훈해,2,0
gsw0****,2016.11.06. 12:06,10,정말정말정말 감동적이었다,2,0
whit****,2016.11.06. 09:52,10,진짜 괜찮았아요 최고 !!또보러가고픔,2,0
ptg4****,2016.11.06. 02:56,10,감사합니다. 너무 좋은 영화였어요.,2,0
peop****,2016.11.06. 00:40,9,"감동의 감성로맨스. 연기력에 다시 한번 푹 빠져봤고, 아름다운 멜로에 다시 한번 울었다",2,0
e714****,2016.11.06. 00:26,10,정말 최고다 잔잔하고 여운이 깊게 남은영호,2,0
fizz****,2016.11.05. 23:51,10,여러번 봤던 거여도 영화관에서 또 보니까 느낌이 또 좋았어요,2,0
mang****,2016.11.05. 23:41,10,몇번을봐도 좋은 영화!,2,0
ange****,2016.11.05. 23:39,10,마음이 따뜻해지는 영화입니다,2,0
kjk3****,2016.11.05. 23:37,10,명작입니다.. 정말최고,2,0
skks****,2016.11.05. 23:26,10,예전에 재미있게 본 영화를 다시 봐서 좋았어요ㅎㅎ,2,0
gmld****,2016.11.05. 22:23,10,정말 최고의 감동 최고의 영화 ㅜㅜ,2,0
yunj****,2016.11.04. 23:05,10,앨리의 사랑스러움에 넋놓고 본 영화,2,0
eyns****,2016.11.04. 21:31,10,역시 명작은 명작! 언제봐도 재밌다~!,2,0
siti****,2016.11.04. 20:54,10,진짜재밋고 감동적이에요,2,0
soom****,2016.11.04. 20:22,10,재밌어요 재개봉 하는 이유가 있네요 또보고 싶어요....,2,0
blue****,2016.11.04. 20:15,10,10년 만에 보는건데도 너무 감동적이었습니다.,2,0
sj78****,2016.11.04. 19:38,10,네번째본작품이지만 역시 영화관에서 보니까 또다른 맛이 있네요... 또 펑펑울면서 봤습니다 역대급 명작 ~,2,0
ekf3****,2016.11.04. 16:04,10,이건 제인생영화입니다..세드앤딩이라 슬프고 그런게아니고 여운이남는 정말 예쁘고도 현실적이고도 공감되는ㅠㅠ무조건보세요 애인있으신분은 꼭 같이보시구요,2,0
good****,2016.11.04. 14:27,10,행복해다 가슴 따뜻한영화,2,0
gusw****,2016.11.04. 09:54,10,최고입니다 남주여주 사랑최고,2,0
wlgh****,2016.11.04. 09:51,10,최고의영화입니다!!!!,2,0
chld****,2016.11.04. 01:49,10,보면서 울었네요 좋았어요,2,0
yese****,2016.11.04. 00:08,10,정말 여러모로 많은 생각을 하게 해주는 영화네요.. 이계절에 보면 딱이에요 남친이랑 같이 보는데 최고,2,0
c885****,2016.11.03. 23:56,10,인생영화 그 어떠한 영화보다도 모든 대사 표정하나하나에 공감하게 된다,2,0
love****,2016.11.03. 23:54,10,더 뜨겁게 사랑해야겠다,2,0
ieun****,2016.11.03. 23:25,10,감동적이었어요~~^요즘 영화 중 추천합니다~,2,0
cso8****,2016.11.03. 23:20,10,아름다운 영화 감동이었습니다,2,0
hwpo****,2016.11.03. 02:14,10,5번째보는 내 인생영화:) 이런사랑을 하고싶어요,2,0
happ****,2016.11.02. 19:36,10,감동의 여운이 길게 남습니다.,2,0
gptn****,2016.11.02. 18:51,10,역시 명작...???????????? 너무 감명깊었어요 마지막 순간까지,2,0
ahnv****,2016.11.02. 17:36,10,진짜 노트북은 내 인생영화,2,0
no1j****,2016.11.02. 14:35,10,너무너무 감동적이에요,2,0
cksa****,2016.11.02. 12:46,10,정말 감동이고 아름다웠어요!,2,0
llll****,2016.11.02. 02:13,10,감명깊게 봤어요.적극적으로.추천합니다,2,0
kimh****,2016.11.02. 00:45,10,너무 훈훈하고 아름다운 영화였습니다.,2,0
jung****,2016.11.01. 22:07,8,감동적인 영화였습니다. 노트북 워낙 유명한 영화여서 보고싶었는데 재개봉해서 보게 되어 좋았습니다.0,2,0
miss****,2016.11.01. 17:38,10,볼 때마다 눈물나는 명작중의 명작!,2,0
eunh****,2016.11.01. 15:59,10,언제봐도 그리고 몇번을 봐도 명작이네요,2,0
hawj****,2016.10.24. 05:03,7,15세 관람인데 조금 선정적인 부분이 있었다.저?체적인 느낌을 표현하기위한 최소한이라 이해했다.,2,0
su80****,2016.10.23. 23:16,10,영화가 재개봉되는 동안 저도 많이 변한 것 같아요. 처음 영화를 봤을 때랑 지금이랑 다르네요. 확실한 건 그렇게 사랑받는 여주가 너무 부럽다는 겁니다!!,2,0
ohm2****,2017.04.03. 22:11,9,사랑하는 사람과 함께 보면 좋을 영화!,3,1
craz****,2016.11.20. 15:15,10,10년만에 다시봤네요 가을에 잘어울리는 영화입니다,3,1
anna****,2016.11.17. 19:51,10,감덩 ㅠㅠ 진정한 사랑을 느낌,3,1
tnsc****,2016.11.17. 13:12,10,감동적이네요ㅋㅋㅋㅋ,3,1
kang****,2016.11.17. 12:25,10,정말 감동적입니다모처럼 눈시울이 찡하네요,3,1
agai****,2016.11.05. 18:01,10,인생영화!!!!~~~~,3,1
shal****,2016.11.03. 09:00,10,영화보고 글 처음 남기네요~관심없이 봤지만 큰 관심가지고 나왔습니다~~설마 하는마음 말고 꼭보세요^^,3,1
qncp****,2020.11.28. 01:18,10,정보 없음,4,2
lees****,2016.11.03. 10:09,10,몇번을 봐도 여전히 감동인 영화에요 그냥 보면 앎,4,2
holi****,2016.10.22. 22:08,6,더도 덜도 안해서 그냥 멜로물뭔가 본거같은 스토리,5,3
kahl****,2016.11.03. 22:38,10,"멜로영화가 줄수있는 최대치의 감동이 느껴지는 아름다운 영화입니다. 어린 시절의 풋사랑과 성년이 된 후의 만남, 그리고 노년의 애틋한 사랑이 참 감동적이에요. 언제봐도 좋은 명작!",1,0
dytp****,2016.11.03. 19:16,10,정말 다시봐도 명작이었습니다. 여자친구와 마음이 따뜻해지는 하루였습니다 감사합니다^^,1,0
sunj****,2016.10.31. 21:50,9,하필 월요일에 봤네요..ㅠ,1,0
jiwo****,2016.10.31. 20:19,9,재개봉 영화는 언제나 옳다,1,0
hawk****,2016.10.31. 16:20,10,나도 이런 아름다운 사랑을 하고 싶다. 장면장면이 너무 예뻤다,1,0
eras****,2016.10.31. 16:01,10,Great movie i want a Noah in my life,1,0
coco****,2016.10.31. 12:29,9,아름다워요.. 저도 남편이랑 이렇게 아름답게 살고싶어요,1,0
soun****,2016.10.31. 11:47,9,영원한 사랑이 이런걸까 감동,1,0
bsc2****,2016.10.31. 10:19,9,아름다운 영화였어요!!,1,0
wate****,2016.10.31. 06:54,10,찡하고 행복한 영화입니다.,1,0
tntn****,2016.10.31. 01:25,10,여운최고 ㅜㅜㅜ 잠 못잘것같애요,1,0
siro****,2016.10.30. 23:30,10,재개봉때 본게 아쉬울정도..,1,0
pz6t****,2016.10.30. 23:08,10,할아버지 존멋. 존 의문의 다패,1,0
inoh****,2016.10.30. 22:43,10,꼭봐야할영화 꼭꼭꼭꼭,1,0
ruru****,2016.10.30. 22:30,10,마음이 따뜻해지는영화,1,0
s2ok****,2016.10.30. 17:54,10,좋아요다시봐도 낭만적인 영화에요,1,0
