username,date,rating,review,likes,dislikes
kkam****,2018.03.10. 19:35,10,최고중에 최고 명작입니다,28,9
jbkr****,2017.09.10. 18:04,10,좋습니다 몰입도 장난아닙니다 ㅎ.ㅎ,18,1
talk****,2017.09.09. 01:52,9,재밌어요 다들연기잘해요,21,4
drso****,2017.09.10. 06:55,10,설경구배우는 연기로는 깔 수가 없구나. 계속 연기하셔서 좋은 영화에 출연해주시길.,23,6
nimi****,2017.09.07. 15:47,9,설경구 다시보게됨ㅋㅋ,25,8
henr****,2017.09.08. 23:58,8,배우들의 연기력에 박수,21,5
vkvk****,2017.09.11. 14:58,8,볼만햇심다 김남길 간지다,15,0
ggo1****,2017.09.10. 10:53,9,김남길...눈빛이 후덜덜~ 영화를 다 본 후에도 정리 되지 않는다...,15,0
jjjj****,2017.09.10. 02:09,10,설경구 연기 정말 박수치고 싶을정도로 몰입감이 대단했고 김남길 눈빛도 최고였고 연기할때 얼마나 정성을 담았는지 느껴졌어요! 진짜 몰입감 최고ㅠㅠㅠ한번도 중간에 몰입이 끊긴적이 없었어요 정말로,20,5
kjs6****,2017.09.07. 10:03,10,설경구 눈빛 연기 정말 좋았습니다.,23,8
sunh****,2018.01.20. 20:42,10,김남길 연기는 정말 소름이...,14,0
ther****,2017.09.13. 03:44,9,스릴있고 꽤 괜찮았어요,14,0
king****,2017.09.09. 02:21,10,약간 메멘토 봤던 느낌이 아련하게 돌았습니다.,18,4
zxxs****,2017.09.08. 16:22,10,재밌었어요 ㅠㅠㅠ 좀 무섭고,19,5
tngu****,2018.03.02. 14:01,6,저는 원작이 더 재밌더군요,20,6
rhlf****,2017.09.07. 23:09,10,진짜 명연기 꿀잼이다....,20,6
coff****,2017.09.06. 23:32,10,설경구 와~~~연기신 소름돋는다 뭔연기를 저리잘해,23,9
pret****,2017.09.07. 12:44,1,꼭 보세요(나만 당할순 없지),113,99
tjsc****,2017.09.13. 11:54,8,설경구 김남길 연기 너무 잘해여!,15,2
ps54****,2017.09.08. 19:54,9,반전의반전의반전ㅋㅋ 차사고장면인상깊고 잘봤다싶다,15,2
me_t****,2017.09.09. 01:56,10,완전 재밌었어요!! 여자친구랑 손잡고 집중하면서 봤네요 ㅎㅎㅎ,17,4
lims****,2017.09.08. 09:31,9,배우들의 멋진 연기력과 분장까지 몰입하고 볼수 있는 영화였습니다^^,19,6
codu****,2017.09.11. 13:22,8,결말 순간 으잉? 했지만 몰입도도 괜찮구 김남길 설경구 연기가 크으bbb 설현은 영화 초반엔 연기가..음.. 그랬지만.. 뒤로 갈수록 괜찮아졌음!,12,0
baej****,2017.09.13. 09:30,10,설경구랑 김남일 둘다 연기가 대박,14,2
jane****,2018.03.05. 09:20,10,진짜 연기 잘하고 보는내내 심장 졸깃,15,3
aki0****,2017.09.08. 11:10,9,마지막을 알쏭달쏭하게 해놔서 더 재미있었네요.ㅋㅋ 역시 갓경구님의 연기력 짱이예요 중간에 반전도있고요 추천합니다 !,18,6
skqu****,2017.09.07. 23:09,8,신선하고 재밌었습니다중간에 읭..? 하는 부분도 있긴했지만 배우들 연기너무 잘하셨고 김남길 살인자연기 짱짱맨...후덜덜무서웠슈,18,6
dksk****,2017.09.09. 16:36,10,"호불호가 왜 갈리는지 알 수가없네.. 영화가 2시간이 넘는데도, 시간가는줄 모르고봣다.. 설경구 진짜 흥행력은 택시운전사에 못미치겠지만 연기는 송강호에 미칠수 있다 최고",21,9
9893****,2017.09.07. 01:10,9,올해 본 영화중 최고설현 나름 선방설경구 역시..,29,17
ych7****,2018.03.01. 13:20,9,설경구 연기만 계속 떠오름.눈 깜박깜박.,13,2
wlsd****,2017.09.13. 09:44,10,설경구 김남길 연기를 다시보게 된 영화였네요,13,2
deja****,2017.11.07. 13:20,9,"머지 않아 상영이 끝날 것 같아서 더 늦기 전에 극장에서 봤는데요. 스토리 보다는 설경구, 김남길 두 배우의 연기가 정말 좋았습니다.",10,0
wmfw****,2017.09.14. 12:31,8,연기를 너무 잘해서 몰입하긴햇는데 스토리가 부족햇어용 ㅠㅠ,10,0
dg10****,2017.11.08. 03:01,9,민태주가 진짜 인물인가? 병수의 망상의 인물인지 보는내내 혼란스러울만큼 태주역활의 김남길연기는 정말 대단했어요,11,1
pmr7****,2017.09.14. 11:49,8,"설경구,김남길 연기 진짜 잘하네요",11,1
nani****,2017.09.11. 23:46,10,진짜 영화 너무 좋았어요!!설경구의 OOO기!!그에 OOO않는 김남길.영화 끝나구 나오는데 감독을 검색해봤을정도로 최고였어요,11,1
qwee****,2017.09.10. 22:35,7,"설경구,김남길의 연기 맞짱을 보는 것같았다..설현도 연기로 까일수준은 전혀 아님..어렸을때부터 연기한게 이번작품에선 좀 드러난듯",11,1
rumb****,2017.09.13. 00:05,9,보다가 어느정도까지 진실로 믿어야할지 헷갈리게 만드는 게 스릴있고 재미있었네요역시 김남길씨 잘생기기도하고 연기도 멋졌습니다,13,3
booj****,2017.09.07. 22:59,9,연기력 하나 만큼은 최고 였습니다.,16,6
lees****,2018.01.25. 12:39,8,설경구 김남길 연기 최고네요 재미있게봣어요,9,0
leed****,2017.09.28. 18:24,10,일단 설경구...와우.... 김남길...와우...설현도 연기 못할줄알았는데..생각보다 굿이였다...일단 이거 꼭 보시길...,9,0
tyeo****,2017.09.13. 09:51,8,남배우들의 연기가 압권 !,9,0
ymym****,2017.09.16. 00:11,8,설경구 역시 연기잘하고 김남길 너무 멋잇엇어요~~~~짱,10,1
c930****,2017.09.11. 14:14,10,명불허전 너무재밌다..,11,2
chlg****,2017.09.13. 03:22,10,오지구여 지리규요 헷해햇,12,3
they****,2017.09.10. 09:26,10,대박 졸잼ㅋㅋㅋㅋ연기하나는 끝내줌ㅋㅋ,12,3
high****,2017.09.10. 04:22,8,설경구 연기 좋았습니다. 소재도 신선했고 설현도 생각보다 영화에 잘 녹아든 느낌이었습니다.,12,3
so_h****,2017.09.10. 01:57,10,올해에 본 스릴러물중 최고였어요ㅎㅎ,12,3
ensk****,2017.09.09. 17:29,8,연기력은 다들 정말 좋음. 근데 좀 질질끄는 면이 있는듯.,13,4
funn****,2017.09.09. 00:56,9,설경구의 연기력은 역시...설현도 몰입에 방해되지 않을 정도록 연기력이 좋네요~ ㅎㅎ,14,5
dlwl****,2017.09.11. 23:29,8,설경구와 김남길의 연기는 대박이야따~~,8,0
tnql****,2017.09.11. 23:23,9,"영화평 믿고 봤는데, 걍 보고나면 설경구를 우러러 보게됨 .. 설경구의 연기력은 갑 오브 갑~ 김남길의 선과 악이 공존하는 눈빛연기도 그에 못지 않다 작품성 훌륭한 영화",8,0
haha****,2017.09.16. 11:39,8,저는 기대한 만큼 재미있게 관람 했습니다.설경구와 김남길의 연기는 흠잡을 데가 없었습니다! 설현의 연기도 나쁘지 않았고..소설로도 꼭 한번 읽어보고 싶네요~,9,1
comm****,2018.02.21. 16:41,10,재밌는데 뭐라 표현할 방법이,11,3
jini****,2017.09.08. 23:08,10,여운이 아직까지 남는다..,11,3
ksw2****,2017.09.10. 01:34,9,재밌었다. 설현이 이쁘다.,12,4
nbaj****,2017.09.21. 15:35,1,기분 안좋은 최악의 영화ㅜㅜ 영화를 보면서 찝찝함에 스트레스만... 김남길씨 악역 연기력 좋습니다.,18,10
jinb****,2017.09.07. 22:02,8,영화의 초중반까지는 몰입도가 좋은데  후반이 좀 그렇다...설경구와 김남길의 연기력은 역시 좋고...설경구의 나레이션도 괜찮다...설현은...이쁘다,22,14
sooy****,2017.09.16. 18:21,1,개재미없음... 돈아까운건 처음..,29,21
kill****,2017.09.11. 21:11,1,메멘토 만들려다 실패한 영화...,42,34
shte****,2017.09.09. 15:44,1,답답하고 재미없음  친구랑 나오면서 서로 알수없는 미소만,49,41
esta****,2017.09.29. 02:32,10,"설경구배우 연기 짱 잘해..ㅠㅠ 마지막에 은희한테 ㄴㄴ ㄴㄸㅇ ㅇㄴㄷ 하는데 같이 울어버렸음. 김남길, 설현 배우도 모두 연기거 너뮤 좋았고 배우들간 케미도 잘 살았던듯.",7,0
hori****,2017.09.11. 22:53,7,약간의 반전의 그냥 그런 볼만한영화 입니다.킬링타임 용으로 괜찮은영화입니다.,7,0
bdk1****,2017.09.10. 19:07,10,굿굿 재미있네여 추천해여,7,0
