"작성자","평점","좋아요","댓글수","리뷰"
"JJ","4.0","17","0","(영화 아니고 책 감상입니다!)
책 읽다가 중간에 눈물 나올 것 같아서 멈췄던 건 거의 처음인 것 같다. 나도 나이 먹었나... 후반부에 Noah가 Allie에게 쓴 편지들 읽어 내려가는 부분에서 코끝이 찡해졌다. 남녀간의 정말 순수한 사랑에 감동한 것도 있지만, 왜인지 부모님 생각이 나버렸다. 문득 부모님께서 나이가 드셨다는 자각이 생겨서일까. Noah가 자신의 아이들에게 Allie와의 만남부터 시작해서 이야기를 들려주는 그 묘사가, 감성이 너무나도 아름다움과 동시에 슬프게 느껴졌다.
.
순수한 사랑은 아름답다. 이렇게 헌신하는 사랑이라니. 잔잔하면서도 가슴을 울리는 감동이 그득하다. 함께 나이를 먹어갈 사람이 있으면 좋겠다는 생각이 처음 들었다."
"자갈치","0.5","17","0","영화는 뻔하고 캐릭터는 뻔뻔스럽기만 함"
"동동","3.5","17","0","이렇게 미치도록 한 여자만 바라보는 남자가 또 있을까.. 서로에게 급격하게 빠져들고 함께있을때 가장 나같다는 느낌을 들게해준다는게 노아랑 오빠랑 비슷햇던것같아 더 감동이였다.."
"윤혜인","5.0","17","0","예쁘고 예쁘고 아름다웠던,
계속 보고 싶은 영화."
"준희","5.0","17","0","멜로영화의 교과서.
이보다 따뜻하고 가슴아픈 사랑이 있을까?"
"카라멜마껴놔또","4.5","16","0",".
넘 감정이입해서 멜로는 기피하는디...
세상에...
남친생기면 이거 꼭 같이봐야지 생각한 영화.

“영화 너무 예뻐... 지인짜...
현실에 이런 사랑이 있을까..?!” 했는데
""있어.” 라고 해준 언니 최고👍🏻

근데 영화관 나오고 ... 바로 마주한 현실은
코엑스 아셈타워에 폭발물이 설치되었다는 소식...
바로 집으루 튀어감 ㅠ

믿고싶다...

머라구 횡설수설 ㅠㅠㅠ초코렛이나먹쟈"
"별빠","3.5","16","0","불멸의 열정으로 끝까지 태우는 황혼의 희열, 썼다가, 지우고, 채우기위해, 비워야하는 연인의 인생 노트, 나만의 영원한 ‘Fan’, 사랑을 기록한 ‘Pen’, 클리셰한 멜로의 ‘Pandemic’, 스크린 밖으로 퍼지고도 남으리."
"강인숙","3.0","16","0","사랑도 성격인 것 같다. 
열정적인 사랑은 그 사랑 자체가 
열정적이라기보다는 사랑을 하는 
주체가 열정적인 성향을 가졌기 때문이 
아닌가 싶다. 열정이 넘쳐 광기마저 
언뜻언뜻 비치는 앨리처럼. 
.
물불 안 가리고 사랑이라는 거대한 
바다에 뛰어든 앨리의 폭풍 같은 사랑. 
그 상대가 꼭 노아여야만 했다기보다는, 
사랑을 위한 사랑을 한 건 아니었을까.
그나마 진정한 사랑을 준 노아를 만나 
행복한 삶을 산 듯하니 얼마나 다행인지.
.
사랑하는 사람과 살아가는 삶과
안정되고 풍요로운 삶 중 
어느 것을 택할지는 쉽게 
답할 수 있는 문제가 아니다.
결국 프로스트의 시 <가지 않은 길>처럼 
사람이 적게 간 길을 택하고, 
그로 인해 모든 미래가 달라졌다고 
생각하며 살게 되지는 않을까?
선택하지 않은 쪽 길을 늘 아쉬워하면서."
"윤이파파","4.0","16","0","첫 사랑의 설레임 그리고 언제나 이상을 압도하는 현실.  갑작스런 이별의 애절함. 힘겨운 그리움. 그리고 운명의 장난까지. 
.
많은 것을 담았기에 분주할 수 있는 전개를 두 배우의 매력으로 치고 나간다.
.
로멘틱한 이야기에 감정을 이입하다 보면 남는건 뜨거운 첫사랑의 기억. 그 애뜻함 만으로도 이 영화는 제몫을 한다."
"감귤","0.5","16","0","만나달라고 관람차에 매달려 떼쓸때부터 짜증. 이렇게 유아적이고 제 멋대로인 남자 왜 만나?"
"니이드","2.5","16","0","내가 보기엔 너무 지나치다."
"JJ","5.0","16","0","하도 많이 들었던터라 감동이덜했지만
이 사랑에 5점을 주지 않을수없었다"
"이영현","5.0","16","0","이렇게아름다운영화를 만들다니 ㅜㅜ"
"Parc","3.5","15","0","노아만큼의 사랑을 하는 사람이 되기 쉽지 않기에"
"이제훈","3.5","15","1","방금 헤어진 연인을 위해 '블루 발렌타인'을,
방금 시작한 연인을 위해 '노트북'을."
"yourjini","3.5","15","0","넌 17살이야
사랑이 뭔지 몰라
엄마는 아세요?"
"무민","4.0","15","0","왓챠 후기들을 보고 불륜이 무얼까에 대해 다시한번 생각하게 되었다. (노트북, 미스사이공 스포)
-
사랑을 '약속'하는 것이 '책임'이 된다면 여자는 자신을 일생을 모두 바쳐 사랑하는 두 남자에게 모두 '책임'이 있다. 어느 쪽을 선택해도 결국 둘 중 하나에게는 상처를 주어야한다. 그렇다면, 내 마음이 가리키는 방향으로 가는 것이 맞는 것 아닐까? 분명 사랑하는 사람. 믿음을 준 사람에게 그 믿음을 저버리는 것 만큼 잔인한 일은 없다. 하지만 과거의 그들에게 피치못할 사정이란게 있었고 만날 수 없던 사정이란 것이 있었다면. 그러한 시대와 상황이 있었다면? 내 마음을 거스르는 행동은 평생의 후회를 낳고 상대에게도 평생의 상처를 안겨준다. 그리고 날 기다려온 사랑에게도 상처를 준다.
결국, 두 사람에게 '약속'함으로써 결국 어떠한 선택을 하더라도 피해를 보는 사람들은 생긴다. 하지만, 그것이 단순히 그 때 그 순간만의 쇼크가 아닌 평생의 행복이 걸려있다면. 그렇다면 마음에게 맡기는 것이 맞는 것 아닐까?
-
같은 맥락으로 뮤지컬 미스사이공의 '크리스' 역을 본다면, 그는 전의 사람보다 후에 만난 사람을 더 사랑했기 때문에 아내를 선택했다. 그 와중에 생긴 킴과 아들의 비극이 더욱 안타까웠던 것은 그 잔인했던 전쟁과 안타까운 시대와 가난때문일 것이다. 
-
나는 이제 어떤 이야기를 볼 때 멀리 제 3자의 입장에서 보기보다는 내가 그 사람이라면 어떤 선택을 했을까를 보기로 했다. 사람은 모든 선택에 자기 자신만의 이유가 있다. 그 선택이 남에게 피해를 끼친다면 그건 그만한 벌을 받아야 하는 것이고 그 선택 또한 결국 자신이 하는 것이다. 하지만 그 선택을 강요하는 사회가 있다면. 그 선택의 자유를 빼앗는 사회가 있다면. 그것이 더 큰 문제가 아닐까?!"
"지금","0.5","15","0","사랑이라는 이름 하에 미화된 것들."
"MOVIE DIARY","4.0","15","0","두 남녀의 영원한 로맨스 영화.
이런 비현실적인 이야기가 실화라니..."
"P1","5.0","15","2","멜로의 정점을 찍은 영화"
"JP","5.0","15","0","로맨스영화 딱 하나 꼽으라면 이거.
로맨스는 이래야한다."
"twicejoy","4.0","14","0","사랑스러움이 뚝뚝 떨어지는 레이첼맥아담스. 천진난만 발랄한 그 웃음소리와 눈부신 미소가 평생 잊힐 리가 없다.
재관람"
"서경환","4.5","14","0","한 사람을 위한 아름다운 사랑"
"영화.다큐.OTT.책.많이보고읽자","3.5","14","0","실화였다니..감동적이다!! 인간의 본능(?)을이겨낸 한사람만을 위한 사랑.."
"김지수","2.0","14","0","약혼자만 불쌍하다."
"서준영","4.0","14","0","나도 번듯한 자서전이 남는 인생보다 저런 로맨스 소설이 남는 인생을 살고싶다.."
"Martin","4.0","14","0","영혼을 울리는 사랑에 이끌리는 마음의 동경, 그 누군가에게는 현실의 벽을 뛰어넘는 감동적인 실화

※ 거의 10년만에 다시 본 영화"
"시네마천국","3.5","13","0","”다른 배우였어도 이렇게 설렜을까“ 하고 묻는다면."
"민짜","3.0","13","0","꾸깃해진 당신과 나를 다시 곧게 펴서 영원토록."
"차칸수니리","3.5","13","0","주인공들과 연인이었던 사람들은 어찌 되었을까? 레이첼 맥아담스의 호탕한 웃음 소리가 기억에 남는다."
"조항빈","3.5","13","1","'노트북'은 한 여름에 첫 눈에 반해버린 첫사랑 커플에 대한 멜로 영화다. 상당히 유명한 멜로 영화인지라 꼭 한 번 보고 싶었는데, 역시나 정말로 달달하고 설레고 가슴 아린 사랑을 잘 담아냈다. 결국 영화의 매력은 두 주인공의 미친듯이 깊게 빠진 사랑에 올인한데에서 왔다. 부잣집 딸과 노동자의 아들의 만남에 대한 이야기는 상당히 뻔하고, 이곳 저곳에 다소 신파적으로 흘러갈 수도 있는 지점들도 있다. 하지만, 이 모든 것이 처음부터 끝까지 관객을 설레게 하고, 웃게 하다가 울게 하는 원동력은 두 주인공의 사랑이 얼마나 뜨거운지를 시종일관 보여주기 때문이다. 여기에는 라이언 고슬링과 레이첼 맥아담스의 완벽한 케미 덕분이기도 하다. 바로 그 강력하고 열정적인 핵심이 있기 때문에, 이야기가 아무리 뻔하고 멜로드라마틱해도 관객의 마음을 사로잡을 수 있었다고 생각한다."
"조정희 영화평론자","3.0","13","0","영화는 기본적으로 허구에 기반하고 허구가 아니라고 하더라고 허구처럼 드라마틱 해야 영화의 소재가 된다.
첫사랑이 많은 고통을 통해서 결국 이루어 지고 사랑하는 사람과 한날 한시에 세상을 떠나는 것은 모든이의 로망이기도 하지만 한 편 현실에서 이루어 질 가능성이 거의 없다는 점이 마음 아프다.
닉 카사베츠는 “로미오와 줄리엣”의 비극과 “타이타닉”의 엔딩에 축복을 내리고 싶었던 걸까.
인생의 여름에 만나 사랑하고 늦겨울에 여름의 사랑을 기억하고 싶은 그 들의 로맨스는 비현실적일 만큼의 과다한 영상미로 역설적으로 꿈만 같던 첫사랑의 여름. 인생의 여름을 이야기 한다."
"정대만","2.5","13","0","우리의 사랑이 우리를 함께 데려가 줄 수 있을까?"
"Haeun Kang","5.0","13","0","호숫가 오리 500마리 장면에서...
""얘들은 여기서 뭐하는 거야?""
""글쎄.. 과테말라 해협으로 떠나야 하는데""
""여기 안있고?""
""그래 왔던 곳으로 돌아가야지""
앨리의 현재 상태를 대변하는 우리 오리들 ㅠㅠ
수없이 봐도 내용 풍경 사랑스러운 배우들 지겹지가 않네.
'새로운것이 사랑이라 생각했는데 익숙함에서 새로움을 찾는것이 사랑이다.'"
"신상훈남","4.0","13","0","입술이 아프다. 
하도 깨물면서 봐서 그렇다.
노트북이 나에게는 계속 답답했나 보다.
사랑에 정답은 없다.
그렇기에 노아와 앨리의 몰상식한 행동들이 
안타깝게 느껴진다.
사랑은 쉬운 만큼 
조심스러워야 한다.
처음에는 찌질해보였던 노아가
어쩜 그리 듬직해보이던지.
따라 웃게 되는 앨리의 웃음 소리 만큼이나
아름다운 영화다."
"오현석","2.5","13","0","진부하고 작위적인 결말이라지만 사랑스러운"
"서준혁","5.0","13","0","어찌 이렇게 아름다운 사랑을 할 수 있을까......
진실된 사랑은 늙어서도 변치 않는 것 같다.
끝까지 함께 했다니 정말 감동적인 이야기다 ㅠㅠ
계속 눈물이 나오네 ㅠㅠㅠㅠ"
"노서영","1.0","13","0","자고 싸우고 울고 자고 싸우고 울고"
"이유진","4.0","13","0","이해가 되는영화
그시대에서의 로맨스의 정석"
"태리","5.0","13","0","볼 때마다 마지막 장면부터 4분동안 날 울게 만드는 영화"
"Jinyu","2.0","13","0","지나친 과대평가. 맞지도 않는 큰옷을 입은 모델을 보며 아방가르드 하다고 평가하는식."
"영화 볼 결심","3.0","12","0","함께있으면 내가 나같이 느껴지는 사람"
"sendo akira","4.0","12","0","내 곁에 당신이 없이 살아야한다면 하루하루가 공허하고 밤이 길게 느껴지겠죠
당신과 함께라면 영원을 볼수 있어요
예전에도 사랑에 빠졌었지만 이렇게 강렬하진 않았죠
우리의 기운찬 꿈이 우리가 원하는 곳으로 데려다 줄거라는것을 우린 알고있어요
안아주세요, 어루만져주세요
당신없이는 살고싶지 않아요
아무것도 당신에 대한 내 사랑을 바꿀수 없어요
당신도 지금쯤이면 내가 얼마나 당신을 사랑하는지 알거에요
한가지 당신께 확신할수 있는것은 당신의 사랑 그 이상은 아무것도 바라지 않는다는 것이죠
세상이 내 삶 전체를 바꿔놓아도 당신에 대한 내 사랑은 변함이 없을거에요!!

~nothing's gonna change my love for you~"
"Hoon","5.0","12","0","온갖 클리쉐로 가득찬 전형적이며 뻔한 작품인데...
계속 눈물이 나게 만드네...
짜증나..."
"까망콩","3.0","12","0","신분차를 뛰어넘은 첫사랑과의 재회. 참으로 뻔한 소재를 뻔하게 풀어냈지만 아름다운 영상이 어느 정도 커버한다. 앨리의 감정선에 공감하기 어렵다는 건 큰 헛점."
"윤세영","4.0","12","2","이렇게 사랑스러운 로멘스가 있을까..?
그들의 가슴 깊은 사랑이야기였다."
"영화팬","3.5","12","0","영화 초반 노아의 어처구니 없는 고백이나 갈팡질팡 하는 엘리의 모습은 두 주인공의 매력이 아니였다면 공감하기 힘들었을듯. 하지만 진부함에도 몰입도와 완성도 높은 멜로."
"구준회","4.0","12","0","누구나 꿈꾸는 사랑이지만... 아무나 못하는 사랑"
"루시아","4.0","12","0","노아의 눈빛은 정말 뜨거웠다"
"아리아드네","3.5","12","0","멜로라는 틀에선 참 좋은영화."
"Christopher J","4.0","12","0","뻔한데도 그것을 무마시켜 버리는 완벽한 로맨스"
"유안","1.0","12","0","여자가 남자 뺨 때리는 순간부터 짜증이 확 올라왔다 이걸 추천해준 사람에게 살인충동을 느꼈다"
"챠챠","3.0","12","0","남주의 헌신적인 사랑이 정말 대단했다. 볼 만은 했으나 감동받을 정도는 아니었음"
"망고의 영화 리뷰","3.0","11","0","아름다우나 설득력없는 동화의 happily ever after."
"팬서","3.5","11","0","운명처럼 만난 너와 평생을 함께 사랑할 수 있다면."
"OhJoonHo","3.5","11","0","얼마 남지않은 정통 멜로의 가장자리."
"jisoozzang91","2.5","11","0","감정을 적셔주고 싶을 때 볼만한 전형적인 첫사랑 이야기."
"담시노","4.5","11","0","제목에 속았다. 
노트북이라해서 맥북 혹은 삼성노트북만 생각해서
Sns관련된 IT영화쯤으로 생각했다. 
비웃지 마시라. 우둔하고 고루해지는게 인생이다. 
그렇다고 영화제목을 ‘공책’으로 직역할순 없겠지. 
‘그사람의 비망록’ 으로 했다면 제목이 스포다. 
.
노아가 읽는 휘트먼의 시를 듣고있는 아버지로
지성적 배우 샘셔퍼드가 등장해서
영화의 격을 높여준거 같아 좋았다. 
이 영화에 걸맞는 휘트먼의 시. 
읽으면 좋고 스킵도 좋다. 
.
낯 모르는 사람에게
 .
저기 가는 낯 모르는 사람이여! 내 이토록 그립게
당신을 바라보고 있음을 당신은 모릅니다.
 .
당신은 내가 찾고 있던 그이, 혹은 내가 찾고
있던 그 여인,(꿈결에서처럼 그렇게만 생각 됩니다.)
 .
나는 그 어디선가 분명히 당신과 함께
희열에 찬 삶을 누렸습니다.
 .
우리가 유연하고, 정이 넘치고, 정숙하고, 성숙
해서 서로를 스치고 지날 때
모든 것이 회상됩니다.
 .
당신은 나와 함께 자랐고, 같은 또래의 소년이었고,
같은 또래의 소녀였답니다.
 .
나는 당신과 침식을 같이했고, 당신의 몸은
당신의 것만이 아닌 것이 되고, 내 몸 또한 그러
했습니다.
 .
당신은 지나가면서 당신의 눈, 얼굴, 고운 살의
기쁨을 내게 주었고,
 .
당신은 그 대신 나의 턱수염, 나의 가슴, 나의
두손에서 기쁨을 얻었습니다.
 .
나는 당신에게 말을 걸어서는 안됩니다.
 .
나 홀로 앉아 있거나 혹은 외로이 잠 못 이루
는 밤에 당신 생각을 해야합니다.
 .
나는 기다려야 합니다. 당신을 다시 만나게 될
것을 믿어마지 않습니다.
 .
당신을 잃지 않도록 유의 하겠습니다
.
         - 월터 휘트먼. 
.
.
누구나 추억할순 있지만 현실과 다른 삶을
살아야 한다는 엄마에 동의할수 없는 
딸 앨리의 대사가 먹먹케 한다. 
‘넌 17살이야. 사랑이 뭔지 몰라’ 엄마 말에
앨리가 눈물을 흘리며
‘엄마는 아세요? 
제가 노아를 보듯 아빠를 보지 않잖아요. 
만지지도 않고 웃지도 않고
놀지도 않잖아요. 사랑을 모르잖아요. ‘
.
어느새 나도 까맣게 잊은 어른이 되었다. 
내가 암송하는 글귀를 읽으면서 
내옆에 계신 분을 위해 설거지도 하고
가끔 야식을 만들기도 한다. 
.
‘내가 할 수 있는 건 
좋은 일의 범위를 조금씩 넓혀보는 정도. 
이를테면 잡담, 
너에게 말을 거는 일. 
때론 상처 주는 말을 주고받더라도. 
통증에 무뎌지며 굳은 살을 만드는 일, 
사람들은 늙어가면서 그런 걸 
소일거리로 하더라는’
.
난 왜이리 이게 좋은건지 노트북을 보고나서
진정제를 들이키듯 다시한번 읽어보았다."
