"작성자","평점","좋아요","댓글수","리뷰"
"life is a journey","5.0","28","2","한여름 풋사랑? 순수한 진정한 사랑일지도 모른다.
진정한 사랑에 대해 알게 해주는 다시 봐도 좋은 작품
ㅡ
꺼져 가버려 가버려.잠깐만 우리 정말 헤어지는거 아니지?지금 싸운거 내일이면 없었던 일처럼 되지?
ㅡ
최고의사랑은 영혼을 일깨우고
더 많이 소망하게 하고
가슴엔 열정을 마음엔 평화를 주지
난 네게서 그걸 얻었고 너에게 영원히 주고 싶었어
사랑해. 언젠가 다시만나. 노아가
-앨리에게 보낸 편지-
ㅡ
상실되지 않거나
상실될수 없는건 없다
희미하고 오래되고 차가운 타다남은 깜부기불은
다시금 살아날지니
-휘트먼의 시-
ㅡ
내 반쪽이 치매에 걸려 날 알아보지 못하기전에
있을때 잘해주고 맘껏 사랑해주자.
ㅡ
처음만날때부터 죽을때까지 
미친듯 사랑하고 싸우고 화해하고 사랑하고 헤어지고 그리워하다 다른 사람을 바라보기도 하고 
신분의 차이 등 여러 역경과 고난이 있었어도 
결국엔 너뿐이더라"
"슴심슨","5.0","27","0","이런 사랑을 봐놓고도 내가 앞으로 진정한 사랑을 할 수 있을까"
"권준희","4.0","27","0","별똥별처럼 타오르다 순간처럼 꺼져가는 삶의 끝에서 우리의 순애보가 아쉬워 별똥별의 꼬리를 한없이 늘려보아요."
"leo","2.5","27","2","첫사랑은 소중한 추억으로 남겨놓는게 아름답다"
"idaein","3.5","26","0","그냥저냥 별 새롭지않은 이야기를 라이언 고슬링과 레이첼 맥아덤스의 연기가 더 고급지게 만들어준다."
"jww","1.5","26","0","와닿은건 황혼의 신사뿐
지루했고 전혀 설레지 않았고 공감할수도없었다"
"이승재","1.0","26","0","노아와 앨리가 사랑한 시간이
앨리의 새 남자와의 시간보다 길긴했을까?"
"괴무리","3.5","25","0","온 마음을 다해 사랑하라"
"세훈","5.0","25","0","죽어도 좋다. 진정한 사랑을 이뤘다면. 
.
사랑이 영원하지 못할 거라는 불신에 감정을 과소평가하거나 평가 절하하지 않길. 
.
사랑은 B와 D 사이의 C처럼 간단한 선택을 허락하지 않는다. 
.
수많은 사랑 이야기 중 노인들의 사랑이 유독 가슴을 치는 이유는 우리가 앓고 있는 이 지독한 사랑의 무수한 감정을 이겨낸 승자인 그들에 대한 경외감일 것이다.
.
그녀를 원하고 그녀가 원하는 것을 사랑할줄 아는 그의 용기와 사랑이기에..."
"하영","0.5","25","0","이게 웬 불륜미화 영화냐"
"김규승","4.0","25","0","과학이 닿지않는 곳에 기적이 있다"
"ㄱ강현우","4.0","23","0","인생을 다시 보게 하는 사랑이야기. 200620 (재)"
"차노스","2.5","23","0","청년의 불타는 사랑보다 노년의 깊은 애정이 더 가슴에 와닿는다. 영화 마지막 10분이 하이라이트다."
"sean park","2.0","23","0","이 고전 스토리가 판타지 영화 같이 느껴지는 건 왜일까"
"수현","4.5","23","0","우리 원래 예전에도 이렇게 싸웠잖아. 쉽지않고 아주 많이 어렵겠지, 매일 이래야 할지도 몰라 그래도 괜찮아 네 모든 걸 원하고 매일 같이 있고 싶으니까"
"나무와 별","4.5","23","4","""아버지, 집에 오세요"" ""내 사랑이 나의 집이야""
사랑하며 서로를 아끼며 함께 늙어간다는 것이 
이토록 아름다운 거구나!
그들 사랑만큼이나 풍경 또한 눈부시게 아름다운 영화."
"제라드 정","5.0","23","1","미친듯이 좋아했던 그래서 너무나도 사랑했던..."
"이유안","0.5","23","0","내가 너무 메마른건가? 왜 평점이 높은지 모르겠다."
"김영훈","3.5","23","0","조금은 뻔한. 많이 익숙한. 
그렇지만 매우 아름다운. 

사랑이 절로 생길것 같은 그 아름다운 곳에 나도 가고 싶다."
"천성식","3.5","23","0","군데군데 비어있는 부분을 채우는 만큼 이 영화는 보답한다. 허술한 플롯을 메우는 상상력은 결국 관객 개인사의 애틋함이다."
"정재홍","4.5","22","0","철새의 이미지가 좋았다. 러닝타임 내내 직간접적(새, 이별, 치매, 죽음)으로 등장하는 철새의 이미지가 이별과 재회, 믿음으로 함축되는 영화의 주제에 통일성을 부여한다.
철새가 떠난다고 슬퍼할 필요없다. 내년이 되면 돌아올 것이라는 믿음이 있기 때문이다.
두 연인의 연애 초반, 이별은 곧 슬픔이라는 두려움이 있었다. 하지만 그들은 헤어지고 다시 만난 후, 그리고 수번 치매에서 돌아와 정신을 차리기를 반복(마치 철새처럼)하며, 이별을 재회에 대한 믿음으로 극복하는 법을 터득해간다. 그들이 마지막으로 한 말도 'I'll be seeing you.'뿐이었다.
로맨스라고만 하기엔 너무나 심오한 그 무엇인가가 있다.
+선남선녀 배우들에 매혹되다."
"최대건","3.0","22","0","아름다운 진부함"
"박현우","보고싶어요","22","0","글쎄요 전 다릅니다
자신이 사랑하고 자신이 사랑받는줄 알았지만 어떤 남자와 바람나서 도망간 사람... 약혼까지 한 사이에서...? 좋게보기는 힘드네요 물론자신의선택이지만"
"konimoji","3.5","21","0","내가 노아였다면, 엘리였다면 그 상황에서 과연 같은 선택을 할 수 있었을까. 실화를 기반으로 한 작품임을 감안하더라도 기시감이 들 수 밖에 없는 다소 진부한 첫사랑과의 서머 로맨스를 주연배우의 싱그러움으로 끝까지 밀어붙였다. 이제 막 사랑을 시작하는 이들에게 추천하고 싶은 작품."
"귤귤","평점 없음","20","4","이런 할리우드식 러블리함 감흥없고 불편한 거 또 나뿐이지
그늘진 구석 없는 꼴을 못보나봄"
"조영재","4.0","20","1","세찬 비가 내리기 전까지 그녀를 위해 노아가 지은 방주들"
"얌냠","4.5","20","0","너무 예쁜 둘의 사랑에 보는 내내 가슴이 아리면서 손이 간질간질거린다 그냥 로맨스 영화의 정석이 아닐까 싶다"
"이용희","2.5","20","0","존버는 승리한다.

그의 순정은 아름답다. 다만 현재 옆에 있는 사람을 버리고 새로운 사람을 택해야만 극적인 사랑이 되는 것인지에 대해선 의문이 남는다.
첫사랑을 이루고 싶다면 일단 버텨보자.
2019년 9월 18일에 작성"
"우기즘","3.5","19","1","언젠가 사랑하는 사람과 다시 꺼내보고 싶어"
"Jay Oh","2.5","19","2","어떻게 로맨스 영화 대표작이 된거지...!
Sap sap sap."
"송수진","1.5","19","0","서구식 신파의 생김새"
"Holio","4.0","19","1","첫사랑은 원래 잊지 못하는게 정상이야
사실 가장 정상적으로 살아가는건 저들아닌가"
"수진","3.0","18","0","잘 자. 다시 만나."
"재원","3.5","18","0","어릴 땐 청년 노아,앨리의 연애만 보였는데, 다시 보니 이 영화의 백미는 눈감는 순간까지 함께하는 노년의 순애보.
ps. 아무리 치열하게 다퉈도 돌아서면 보고 싶어 애태우던 그 시절 내 마음이 참 많이 그립다."
"Younjun","5.0","18","0","I’m still dreaming,
i’m still here waiting for you.
이 영화를 보고 떠오르는 사람이 있어 행복하다."
"홀리","3.5","18","0","어른이 되어서 보니 현실이 보인다."
"SOSOHAN","4.0","18","0","얘들아. 
사랑하는 너의 엄말 혼자둘순 없어. 
여기가 집이야. 
네 엄마가 나의 집이야."
"LittleBigMan","5.0","18","0","한 남자의 지고한 순정"
"Gayeong Kim","5.0","18","0","볼때마다 이런 사랑이 진정 존재했으면 하고 꿈꾸게 한다. 사랑의 감정이 사무치도록 저며오는 황홀경"
