"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 07- 19","3,244.04","3,258.87","3,258.87","3,236.39","1.10B","-1.00%"
"2021- 07- 16","3,276.91","3,282.89","3,282.89","3,259.32","1.07B","-0.28%"
"2021- 07- 15","3,286.22","3,269.33","3,286.58","3,263.09","1.17B","0.66%"
"2021- 07- 14","3,264.81","3,270.09","3,270.09","3,250.45","908.95M","-0.20%"
"2021- 07- 13","3,271.38","3,253.24","3,273.90","3,253.24","1.15B","0.77%"
"2021- 07- 12","3,246.47","3,227.51","3,251.45","3,227.51","1.14B","0.89%"
"2021- 07- 09","3,217.95","3,245.52","3,245.52","3,188.80","1.31B","-1.07%"
"2021- 07- 08","3,252.68","3,287.68","3,295.71","3,252.41","1.52B","-0.99%"
"2021- 07- 07","3,285.34","3,303.59","3,303.59","3,277.66","1.15B","-0.60%"
"2021- 07- 06","3,305.21","3,295.44","3,313.51","3,295.44","1.03B","0.36%"
"2021- 07- 05","3,293.21","3,285.29","3,298.93","3,285.29","850.41M","0.35%"
"2021- 07- 02","3,281.78","3,282.81","3,295.68","3,278.19","1.02B","-0.01%"
"2021- 07- 01","3,282.06","3,297.92","3,300.12","3,278.10","1.16B","-0.44%"
"2021- 06- 30","3,296.68","3,288.63","3,305.73","3,288.63","1.61B","0.30%"
"2021- 06- 29","3,286.68","3,305.26","3,305.42","3,276.63","1.21B","-0.46%"
"2021- 06- 28","3,301.89","3,305.46","3,311.69","3,291.30","1.43B","-0.03%"
"2021- 06- 25","3,302.84","3,289.18","3,316.08","3,289.18","1.20B","0.51%"
"2021- 06- 24","3,286.10","3,281.47","3,292.27","3,277.85","1.30B","0.30%"
"2021- 06- 23","3,276.19","3,265.73","3,281.88","3,263.07","1.07B","0.38%"
"2021- 06- 22","3,263.88","3,245.79","3,267.63","3,245.79","1.67B","0.71%"
"2021- 06- 21","3,240.79","3,264.18","3,264.18","3,225.56","1.51B","-0.83%"
"2021- 06- 18","3,267.93","3,265.68","3,275.76","3,262.58","1.63B","0.09%"
"2021- 06- 17","3,264.96","3,276.20","3,276.20","3,251.32","1.85B","-0.42%"
"2021- 06- 16","3,278.68","3,259.06","3,281.96","3,256.68","2.35B","0.62%"
"2021- 06- 15","3,258.63","3,253.17","3,262.80","3,247.90","1.73B","0.20%"
"2021- 06- 14","3,252.13","3,249.60","3,254.49","3,238.51","1.66B","0.09%"
"2021- 06- 11","3,249.32","3,226.98","3,251.58","3,226.98","1.65B","0.77%"
"2021- 06- 10","3,224.64","3,216.94","3,235.39","3,210.31","1.90B","0.26%"
"2021- 06- 09","3,216.18","3,245.08","3,246.49","3,216.18","1.96B","-0.97%"
"2021- 06- 08","3,247.83","3,251.83","3,264.67","3,242.56","1.95B","-0.13%"
"2021- 06- 07","3,252.12","3,244.59","3,264.41","3,233.40","1.73B","0.37%"
"2021- 06- 04","3,240.08","3,246.17","3,246.19","3,218.67","1.39B","-0.23%"
"2021- 06- 03","3,247.43","3,224.96","3,258.50","3,224.96","1.58B","0.72%"
"2021- 06- 02","3,224.23","3,224.40","3,241.07","3,216.10","1.50B","0.07%"
"2021- 06- 01","3,221.87","3,207.12","3,233.17","3,199.18","1.47B","0.56%"
"2021- 05- 31","3,203.92","3,192.06","3,204.29","3,179.87","1.12B","0.48%"
"2021- 05- 28","3,188.73","3,172.09","3,198.66","3,171.85","966.37M","0.73%"
