"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"노트북","yn34****","2020.08.23. 03:19","1","마음도 없으면서 자기 좋아하는 여자 갖고 놀고 임자있는 사람 꼬시는 남주와 약혼남 뒤통수때리고 전남친 만나서 바람피는 여주 ㅋ 이런 OOO기같은 영화가 대체 어디가 감동이고 명작이고 그런거죠? 주인공들 바람피는게 찐사랑인가요? 바람펴놓고 약혼남한테 사랑한다그러네ㅋㅋㅋㅋ 쓰레기들이 바람피는걸 마치 찐...","10","1"
"노트북","jame****","2019.07.13. 01:46","3","20살의 나라면 10점을 줬겠지만, 30살이 가까워진 다음 보니 불륜을 합리화 하는 영화로 밖에 안보임... 약혼남은 도데체 뭐가 되는 거지? 그리고 결혼 바로 앞에 둔 신부를 꼬시는 남자는 뭐고?","10","1"
"노트북","gose****","2018.06.25. 00:49","4","""감성만있고 이성없는 철없는여자"" 를 말하는건가요? 이영화에서 찾을수있는건 사랑을 어떻게하라는것같은데. 그 어떻게가 눈에 들어오기도전에 눈이 뒤집어지네요. 어째 공감하나 되지않던 , 결국 마음속에 답답함만남던 1인이었습니다.","10","1"
"노트북","airo****","2018.09.22. 21:20","1","불륜 미화 개오졌다;;; 이딴게 평점이 9점대인게 이해가 안감","16","7"
"노트북","rose****","2018.03.03. 05:58","1","이게 아름다운 사랑이라는 사람은 꼭 미망인이나 약혼자와 같은 인생을 살길바랍니다!!ㅎㅎ","16","7"
"노트북","over****","2016.11.10. 08:50","1","걍 첫장면만봐도 결말까지 다예상됨 엘리 발정나서 이놈저놈 다건들고 다니고. 이딴걸 왜 재개봉하는지","17","8"
"노트북","tlsw****","2015.05.14. 12:01","1","첫사랑에 미쳐서 약혼한 남자를 버려? 불륜영화지 이게 뭐냐","18","9"
"노트북","wjdg****","2014.12.05. 00:55","1","보는내내 어이없었다ㅋ볼륜미화","18","9"
"노트북","dero****","2017.08.27. 20:59","1","돈도 없고 뭣도 없는 폭력적인 성격파탄자가 예쁘고 돈 많은 여주랑 결혼하고 싶어서 OO발광 협박해대는 영화. 순정이라고 포장 잘 했지만 사실 돈 없는 남자의 약혼남에 대한 열등감 ㅋㅋ 돈 많은 남자를 두고도 나를 선택해주다니! 에 이입한 한남들 박수","24","15"
"노트북","dnst****","2017.05.17. 21:13","7","내가 하면 로맨스 남이 하면 불륜을 잘 미화한 영화.. 영화는 잘 만들었다.","8","0"
"노트북","yubi****","2019.11.03. 11:24","6","글쎄....과대평가 된 영화인듯.. 전체적으로 다른 유명한로맨스영화보다 별론데..저게 진짜 사랑인가..ㅠㅠ 그렇게 지들 사랑이 대단한거면 여자는 약혼하지 말았어야하고 남자는 다른여자 만나지말았어야함.","10","2"
"노트북","re96****","2018.08.31. 03:17","10","엇갈리는 상황속에서도 계속 생각나는사람... 한번사는인생 이렇게 사랑해봐야하지 않나 라고 가르쳐주는것같은 영화다.. 앨리엄마의 눈물의 고백장면도 마음에 와닿았다. 제일 여운깊은 마지막장면은 뭐.. 짧게 말하기 힘들다 사랑이 기적을 만들어내는구나","10","2"
"노트북","tmal****","2017.08.29. 15:21","1","최악. 내로남불의 정석. 사랑과 전쟁인 줄 .. 미망인과 약혼남만 불쌍하다","12","4"
"노트북","popp****","2017.04.30. 17:01","1","여잔데 이영화보면서 앨리가 참 노답이라생각했다. 정신차려 그거 바람이야 ㅋ 관계정리 똑바로하고살아라제발","14","6"
"노트북","4dar****","2016.11.08. 01:30","1","앨리 나쁜년 OO 어디 발정난","16","8"
"노트북","coco****","2014.04.11. 03:03","7","몇년만에 다시봤는데 약혼자가 불쌍하다는 생각만 들뿐 너무나도 뻔한영화. 영화도 레이첼 원맨쇼","18","10"
"노트북","tkdq****","2018.06.07. 22:34","6","한번 봤을땐 사랑하고 싶어졌다. 근데 두번째 약혼자 입장에서 봤을땐 눈깔이 돌아갔다.","7","0"
"노트북","nanh****","2017.10.28. 04:26","1","이러면 아름답고 쿨하니?","8","1"
"노트북","subm****","2020.07.04. 03:13","1","주인공들.. 섹x에 환장한 짐승들입니까? 제 눈엔 그냥 인간으로서의 도리를 망각한 짐승들로 보이는데...? 사람x끼라면 저렇게 떳떳하게 바람필 수 없지. 동물의 왕국이지 이건. 그리고 제일 황당한건 남녀주인공 모두 머리에 든게 하나도 없어보인다는 것. 자아실현 개나주고 그냥 섹x에 미친 연놈들 그이상그이하도 아님. ...","9","2"
"노트북","dalo****","2017.01.12. 13:17","7","약혼남이나 미망인이 안타깝지만 주인공들이.. 결말처럼 한때의 불장난이 아니였다는거에 이해해주고 만족할수 있는 듯. 하지만 영화 평점대비 감정선이 확 와닿는 영화는 아니였네요","9","2"
"노트북","skal****","2016.12.01. 00:51","1","이거 보면서 앨리가 제 정신인가 싶더라","12","5"
"노트북","donn****","2016.12.15. 05:59","1","약혼남 입장에서 보면 쓰레기 영화","14","7"
"노트북","kkii****","2013.05.22. 23:06","10","생각이나서 다시한번봤는데도감동이네요 집고치고 사는게 인상깊음","14","7"
"노트북","neos****","2013.05.15. 17:24","10","내 인생 최고의 영화 중 하나!!","15","8"
"노트북","hoon****","2004.12.22. 11:14","1","여자주인공이 왠지 짜증이 나는 행동에 쪕...","16","9"
"노트북","2003****","2013.05.05. 18:34","10","굳..내 밑에 있는 새끼가 안슬프다길래 반신반의 하면서 봤는데 진심 명작이다 감동과 아름다움 슬픔 교훈이 담겨있다 흔한 로맨스 영화가 아니다 보면앎","17","10"
"노트북","sylu****","2021.03.25. 07:38","1","이딴 쓰레기 영화가 아직도 평점이 높다는게 절망적이군","7","1"
"노트북","hsp0****","2016.05.04. 19:38","10","이거보고 사랑을찾아 학교 자퇴했는데 ㅆㅅㅌㅊ인 부분인가요?...","8","2"
"노트북","cmin****","2015.11.01. 01:19","10","정말 최고의 사랑 영화잊을 수 없는 스토리","8","2"
"노트북","jyou****","2020.11.11. 04:59","1","진짜 별로 진심 사람들이 다 인생영화라 해서 기대 엄청 하고 봤었는데 걍 불륜 미화 영화였음 영화 좋아하는 편인데 이 영화는 3일인가 4일 걸려서 다 봄.. 이 영화가 대체 왜 인생영화이지? 진짜 이해 안 감","9","3"
