"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"첫키스만 50번째","kjon****","2018.05.03. 08:21","10","말이필요없다 너무 아름다운 영화다. 난 이렇게 사랑할수 있을까? 웃고 울게하고 감동까지 느끼게하는 최고의 로맨틱코미디다 로코물 좋아하지만  이영화이후 이만한영 화는 지금도 없다.","4","3"
"첫키스만 50번째","wooh****","2024.07.17. 04:45","10","내 인생 최고의 로맨스 영화! 몇번씩 다시 봐도 너무 좋다.","0","0"
"첫키스만 50번째","enig****","2024.06.20. 01:47","9","엄청 좋아하는 영화도 아닌데 이상하게 세 번이나 봄. 드류 베리모어의 싱그러움이 대폭발하는 영화.  그녀의 리즈시절과 아담 샌들러의 개과천선을 엿볼 수 있다.","0","0"
"첫키스만 50번째","ldbl****","2024.05.05. 19:50","10","인생 영화중 하나! 생각 날때마다 몇번째 보는중","0","0"
"첫키스만 50번째","kwj1****","2024.04.29. 23:10","10","아름다운 스토리, 아름다운 풍경","0","0"
"첫키스만 50번째","ksgl****","2024.04.26. 08:08","10","단순하지만 스토리가 꽉찬 영화아담샌들러 드류베리모어식 로맨틱 코메디 양화의 최고봉... 조연들 짜임새까지 완벽해서100점 만점에 1000점짜리 영화","0","0"
"첫키스만 50번째","jaem****","2024.04.12. 20:40","10","오랜만에 사랑스러운 영화를 본 거같다","0","0"
"첫키스만 50번째","macn****","2024.02.18. 22:20","10","나는 루시의 주변사람들같을 수 있을까","0","0"
"첫키스만 50번째","whju****","2024.02.01. 19:50","10","매년 꼭 한 번은 보게 되는 유일한 영화","0","0"
"첫키스만 50번째","rlac****","2023.11.01. 01:02","10","잔잔하게 감동이 몰려온 영화. 문득 사랑하는 사람과 매일 추억을 쌓아갈 수 있단 사실이 다행이면서도 한편으론 매일 첫만남의 설렘을 느끼게 된다 생각하니 조금 부럽기도 했다. 참신하고 낭만가득한 너무 좋은영화","0","0"
"첫키스만 50번째","diel****","2023.09.18. 03:53","10","최고최애 영화매년 꼭 보는 힐링 영화","0","0"
"첫키스만 50번째","koma****","2023.09.14. 09:30","10","말해 뭐해...보고 이야기 하자...","0","0"
"첫키스만 50번째","koma****","2023.09.14. 09:30","10","말해 뭐해...보고 이야기 하자...","0","0"
"첫키스만 50번째","yeji****","2023.08.14. 22:52","6","생각보다 노잼 내용이 너무 뻔함","0","0"
"첫키스만 50번째","lees****","2023.07.30. 11:30","10","킬링타임으로 시작했지만 볼때마다 몇번씩 감동을 받는건지","0","0"
