"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"내 머리속의 지우개","sonb****","2012.11.27. 22:30","10","사랑이뭔지알려주는영화♥","8","0"
"내 머리속의 지우개","pian****","2019.03.22. 11:46","10","2019년에봐도 촌스럽지않다..ㅠㅠ슬프다","9","1"
"내 머리속의 지우개","mill****","2019.03.18. 00:55","10","예전에 누구랑 봤는지 기억이 안남...ㅜㅜ","9","1"
"내 머리속의 지우개","rain****","2019.03.18. 00:52","10","5천번째 평점!!! 어째 봐도봐도 질리지 않네요5번정도 다시 본것같아요 아니 그이상일지도!!","9","1"
"내 머리속의 지우개","zeze****","2019.03.18. 00:45","10","편지 읽는 속도감 ...호흡 대박 진짜 미쳤 눈에서 홍수가 우느라죽는줄 손예진 미모는 레알 소름이 끼칠정도 지금 배우들과는 급이다름 정말 ㅎ ㅎ보석...탑클래스 진ㅉ ㅏ 그녀 똥칠을해도 아름답겠","9","1"
"내 머리속의 지우개","tjgu****","2018.09.20. 16:06","8","요즘 영화계에서 나오기 힘든 정석멜로영화","9","1"
"내 머리속의 지우개","rlat****","2013.10.04. 23:13","10","이거보고 휴우증 생겨서 공부가 안되ㅠㅠ 옛날노래 들으면 가슴이 뭉클해져요ㅠㅠ  손예진 짱","9","1"
"내 머리속의 지우개","chj8****","2020.03.12. 03:29","10","일단 휴대폰으로 봤는데 손예진 미모가 영화 시작부터 작은 화면을 뚫고 나오길래 영화 장면 캡처하려는데 장면마다 전부 예뻐서 어느 장면을 찍어야 할지 몰라서 못 찍음 그리고 “이거 마시면 나랑 사귀는 거다...” 너무 흐뭇^^ 어쩜 정우성은 그렇게 그지 같아도 잘생겼을까ㅎ 손예진이랑 너무 잘 어울렸다 아 맞다 내가 여...","10","2"
"내 머리속의 지우개","bubs****","2017.09.17. 03:39","10","이영화를 13년이 지난 지금에서야 보게 되었네요. 슬픈 영화를 그리 즐겨보지도 않고 눈물이 없는 편인데 내머리속의 지우개는 10년전 우리들의 행복한시간 이후로 이렇게 흐느끼면서 울어본 영화는 처음이네요.다시 한번 내삶의 감사함을 느끼는 시간입니다.","10","2"
"내 머리속의 지우개","bgy0****","2013.10.25. 04:47","10","사랑 기억 그리고 ...","10","2"
"내 머리속의 지우개","jini****","2013.05.29. 00:45","10","몇번을 보았고 항상 눈물을 흘린영화...","10","2"
"내 머리속의 지우개","dcs1****","2012.12.03. 04:02","10","여자한테는 울고싶을때 최고의  영화인듯! 손예진너무예쁨ㅠㅠ 연기도잘하고..","10","2"
"내 머리속의 지우개","jora****","2019.03.09. 11:17","10","오픈카 감성  정말 하 눈물","11","3"
"내 머리속의 지우개","fjqm****","2019.03.01. 10:50","10","이런게 진정한 사랑이구나 싶음","12","4"
"내 머리속의 지우개","kyur****","2013.10.21. 23:23","10","하....ㅠㅠ 어릴때는 그냥 진부한 내용이라 생각해서 별생각없이 보곤했는데. 다시 뵈니 마음이 죄어오는 영화,","12","4"
"내 머리속의 지우개","furi****","2016.10.05. 00:35","10","이건 재개봉해야할듯...","14","6"
"내 머리속의 지우개","lueu****","2019.03.18. 01:01","10","이쁜영화였습니다감사합니다!~","7","0"
"내 머리속의 지우개","meqa****","2019.03.18. 00:36","10","지금 다시 봐도 펑펑 울것같다ㅠㅠ 너무슬퍼사랑하는 사람에 기억을 잃어버린다는거 가슴이 너무 먹먹하다 ㅠㅠ","7","0"
"내 머리속의 지우개","binu****","2019.02.14. 22:59","10","와이프랑 질질짜면서 봄","8","1"
"내 머리속의 지우개","hyye****","2018.11.30. 20:52","7","지금봐도 그다지 촌스럽지 않다","8","1"
"내 머리속의 지우개","ekdu****","2017.09.24. 05:25","10","영화보고 이렇게 많이 운건 처음이에요 최고의멜로영화.","8","1"
"내 머리속의 지우개","hami****","2017.09.09. 02:54","10","나이를 먹어갈 때마다 보니 4번쯤인 것 같다.볼 때마다 가슴이 아려오는 최고 명작.","8","1"
"내 머리속의 지우개","zpdl****","2016.01.28. 05:58","10","우리나라영화인게 자랑스럽다 . 수십번을봐도 눈물이나온다 . 너무감사합니다. 이런 영화를 만들어주셔서 .","8","1"
"내 머리속의 지우개","ssan****","2015.09.11. 18:32","10","본인은 잘나가는 회사집안 잘나가는 딸인데 막노가다하는 볼품없는 정우성의 괴짜같기도하며 좀 단순해보이는 사람을 순수하게 좋아하는..그런여자의 연기를 너무너무잘함....","8","1"
"내 머리속의 지우개","dkgn****","2017.09.21. 07:18","10","지금 옆에있는 사람이 제일소중하다는걸 느낀영화","9","2"
"내 머리속의 지우개","rntj****","2017.07.03. 20:19","10","1010101010101010","9","2"
"내 머리속의 지우개","myko****","2013.10.14. 03:00","10","새벽에 잠이 안와 무심코 보게 된 영화..지금 눈이 너무 부어서 잠들기가 무서울정도..ㅜ.ㅜ 쵝오~!","9","2"
"내 머리속의 지우개","tpdu****","2017.10.15. 02:30","10","ㅠㅠ내 인생 최고 영화 날 울린 유일한 영화","10","3"
"내 머리속의 지우개","ball****","2014.09.08. 03:07","10","감성영화.. 아름답네요..","10","3"
"내 머리속의 지우개","dmsq****","2014.02.22. 10:59","9","옛날에 봤을때는 몰랐는데 지금 보면 참 괜찮은 영화 같아요 ost도 좋고ㅎ","10","3"
"내 머리속의 지우개","yul4****","2019.03.01. 04:11","10","이건 별점 10개도 모자란 영화","11","4"
"내 머리속의 지우개","virt****","2013.11.18. 00:30","10","마리 아플 정도로 울었다... 나도 이런 사랑할 수 있을까?","11","4"
"내 머리속의 지우개","ej53****","2013.11.06. 16:27","10","눈물 콧물 닦는다고 힘들었음 ㅠㅠ 이런거 안쓰는데 10점 꼭 주고싶어서 달아요ㅠㅠ","11","4"
